dataset,keras_parallel_3_Dilated_Conv_pooling,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
FiftyWords,2.426680088043213,2.3821611404418945,43.20352244377136,0.3596811294555664,0.7261216640472412,0.6837773323059082,0.1649153232574463,0.497715950012207,0.00014167699999999994,0.06165803800000001,0.010581248,0.000736098,11.05689934,11.424876615,5.536702533,11.822263256,0.6547587919999999,2.849347065,13.447341066,0.000262009,1.3936065380000002,0.7798930829999999,18.28173962,0.011958349000000002,8.906532458000003,0.000183836,0.7805428190000001,0.7669821529999999,0.019191309,0.762886273
FordA,18.02130746841431,18.39050436019897,491.00179624557495,3.0114433765411377,0.34672904014587397,0.35839080810546875,0.57720947265625,0.3154251575469971,0.0025218989999999998,0.041325332,0.134827816,0.022179534,6.0545920839999985,5.132052035,5.30245369,8.341914875,0.6545743820000001,1.846116985,8.60384317,0.002351436,0.8952474500000001,0.6151565539999999,17.810725012,0.06358243400000001,5.265937429,0.026405087999999997,0.561483771,0.425856988,0.045270051000000006,0.443572464
FordB,15.663439750671387,16.567042350769047,441.66991233825684,1.957020282745361,0.2467958927154541,0.240767240524292,0.413076400756836,0.26607441902160645,0.001396695,0.035827151,0.164384286,0.012896952,6.125245755,4.329249496,4.93347853,8.957960814,0.607644361,1.938331749,4.592492824000001,0.002780281,0.838730353,0.597136448,16.160391178,0.059337470999999996,5.245087871,0.014456652999999996,0.553728558,0.486227675,0.08485370199999999,0.4366551980000001
HandOutlines,7.893959045410156,7.767334699630737,620.3061194419862,1.7828800678253174,0.1898775100708008,0.16634130477905273,0.324385404586792,0.15601873397827148,0.000915088,0.032801999,0.095305555,0.011478799,9.606926958999999,6.702428789,5.53189515,10.987611125,0.5232322620000001,3.504147145,13.824561246000002,0.000803929,1.151217205,0.745427979,19.296849190000003,0.105309111,8.037095527,0.024709311000000005,0.7297599300000001,0.774140225,0.046388262,0.6729722140000001
InsectWingbeatSound,5.568175315856934,6.227415561676025,114.7810401916504,0.2349059581756592,0.2389490604400635,0.22826290130615234,0.10166335105895996,0.21946048736572266,0.000342111,0.03918821,0.013454843999999999,0.001867428,6.077664767000001,5.769594177,2.798330866,7.261732877000001,0.33052054399999997,1.6046234039999998,7.153187860999999,0.000504804,0.762018366,0.41942262,9.551958371999998,0.019161116000000002,4.8268512690000005,0.00038830900000000004,0.389092262,0.41009967,0.030192447999999997,0.386779615
ItalyPowerDemand,3.032066822052002,3.041863918304444,12.40765929222107,0.07755684852600098,0.02131485939025879,0.01979374885559082,0.03608989715576172,0.01957535743713379,0.00011318299999999999,0.001222386,0.0004615450000000001,0.00016906200000000002,0.07021850400000001,0.059941212000000015,0.061251758,0.08648143999999999,0.0030120369999999987,0.021950096000000002,0.14638990300000002,0.000137147,0.008329991,0.010318526,0.16038588399999995,0.0005824140000000001,0.06527853900000004,0.000106667,0.01032312,0.009451332,0.000463617,0.0068791569999999995
Mallat,9.33721399307251,9.409012556076052,449.09015846252436,1.309732437133789,0.44220495223999023,0.44099545478820795,0.3265969753265381,0.42128634452819824,0.0008654419999999999,0.085342999,0.06339857900000001,0.006518884,22.331373079000002,19.41296808,10.272254696000001,26.470843386,1.1469129109999998,6.375874490999999,22.614750423,0.000925383,2.656698055,1.468641267,34.099392804999994,0.098244294,17.004233706999994,0.0008588409999999999,1.4390755300000002,1.4026134419999998,0.099849081,1.4168276780000002
MedicalImages,3.02367901802063,3.2385377883911133,26.705860376358032,0.11118197441101074,0.12407684326171875,0.12352275848388672,0.04896211624145508,0.11333513259887695,0.00010506,0.009415224,0.00239349,0.000381824,0.486229478,0.5587742929999999,0.49777558200000005,0.7147484290000001,0.058231389,0.222843528,0.790474369,0.00016638299999999998,0.078944541,0.076306025,1.130570861,0.003622518,0.487486112,0.00014011400000000002,0.071599279,0.071139585,0.004530883,0.076848296
MiddlePhalanxOutlineCorrect,2.0251235961914062,2.378364562988281,17.479291915893555,0.0796356201171875,0.021910667419433597,0.020901203155517575,0.035030126571655266,0.02044510841369629,0.000105682,0.002076201,0.0010547269999999999,0.00032622500000000003,0.148914914,0.158724303,0.11445017700000006,0.21930024,0.007806423000000001,0.046357663,0.203241592,0.00013487,0.017302823000000002,0.014870714000000004,0.377124665,0.001085441,0.116761257,0.0005133249999999999,0.014614276000000002,0.014814363,0.001076047,0.014925465
MoteStrain,2.9051754474639893,3.1927361488342285,27.89362359046936,0.08448123931884766,0.022223711013793945,0.02147078514099121,0.036775827407836914,0.02023887634277344,0.000157553,0.002876995,0.001680576,0.00047945199999999995,0.254864977,0.16865819699999998,0.14196881100000006,0.2688883990000001,0.01179772,0.07097191,0.42375602,0.000183705,0.032808877,0.021318621000000003,0.472654614,0.002052396,0.20276877199999999,0.00015293700000000002,0.019907131,0.020561817,0.0012814139999999998,0.020187801000000002
NonInvasiveFetalECGThorax1,14.133259057998655,15.648502349853516,540.2439045906067,1.9882645606994631,2.920228719711304,2.8833510875701904,1.7138919830322266,2.212203025817871,0.001268537,0.48168289299999995,0.195779376,0.007699493999999999,158.174451573,156.182391924,75.178742193,180.018864877,7.603821657999999,44.281020092,175.071473922,0.0012944159999999998,18.713588593,9.91960517,213.15756994,0.253406729,128.784376353,0.001223726,9.436021669,9.546104456,0.6966390459999999,9.454914918
NonInvasiveFetalECGThorax2,15.558415412902832,14.679142236709595,540.2463614940643,1.8283004760742188,2.673958301544189,2.615102767944336,1.5108931064605713,2.0599093437194824,0.0011661389999999998,0.480597634,0.19996878199999998,0.007839488,164.814136834,152.683945835,74.351852292,175.38420285799998,8.738228697,44.27123751600001,181.93813893200002,0.001226174,18.263368886,9.754355964,223.65553514099997,0.253322879,125.53019681200001,0.001137488,9.570716401,9.39136754,0.746964438,9.428657832
PhalangesOutlinesCorrect,6.838205575942992,6.326181173324585,60.206950187683105,0.17557764053344727,0.046782493591308594,0.0439760684967041,0.07641816139221191,0.04256391525268555,0.000278549,0.005168336000000001,0.003705512,0.0009592060000000001,0.450179021,0.43345122799999997,0.33153015199999997,0.511922771,0.028067863,0.155850378,1.2097729640000001,0.00038627,0.070739174,0.042251388,1.249946045,0.004139301,0.3802869130000001,0.0015319329999999999,0.038077569,0.038750900000000005,0.0029644740000000004,0.036692182000000004
