dataset,keras_parallel_3_Dilated_Conv_pooling,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
FiftyWords,2.426680088043213,0.3925650119781494,0.7473323345184326,0.7071223258972168,0.27024030685424805,0.5173032283782959,0.000254638,0.116586971,0.6576202720000001,0.0010265860000000001,17.501567192,17.855195037,12.783260766,16.692095294,1.2932836899999998,4.763893169,21.115954618,0.001213915,2.03006788,1.466312009,25.896869465,0.012076866000000002,15.657626282,0.000300801,1.47212886,1.43215653,0.17562667599999998,1.431630257
FordA,18.02130746841431,3.2789642810821533,0.5186188220977783,0.5191607475280762,0.8500838279724121,0.4922919273376465,0.0030278630000000004,0.051478153,0.544560368,0.035102965,8.182935201,5.988154719,7.349781462999999,10.006244329,1.0538140340000002,2.537489283,10.02075003,0.009218839,1.044862441,0.7149714449999999,20.452259682,0.06429057299999999,6.947573931,0.032399256,0.658462334,0.520493585,0.43754517600000004,0.536432372
FordB,15.663439750671387,2.199914932250977,0.4073185920715332,0.3884756565093994,0.6312916278839111,0.4184737205505371,0.00181644,0.054109896000000005,0.573390663,0.016465343,8.289619819,4.95421142,7.342221086,11.597501666,0.952316286,2.7278952889999997,5.5499494600000014,0.008867709000000001,1.05546901,0.8304850500000001,18.410054549,0.05980888700000001,7.251120684,0.017412655,0.7847429370000001,0.7252579029999999,0.441119168,0.656492472
HandOutlines,7.893959045410156,2.013469934463501,0.4029710292816162,0.3458817005157471,0.611337423324585,0.28554487228393555,0.001153665,0.054421321,0.45388557,0.015100621000000003,14.08982497,8.318292105,10.126755283,14.173554621,0.8777231990000001,5.089909406,17.357322478,0.0023661420000000003,1.5541380830000002,1.17089358,21.555568958000002,0.105486088,12.695645555,0.028452058000000006,1.149245841,1.208965934,0.38394290000000003,1.0589145309999999
InsectWingbeatSound,5.568175315856934,0.2851517200469971,0.2626204490661621,0.2527167797088623,0.1640639305114746,0.2433907985687256,0.0005851019999999999,0.07219294700000001,0.325710959,0.002609295,9.385687501,7.068897334,6.245820011000001,10.553277721,0.6443944960000001,2.622323335,8.774644677000001,0.002426615,1.098108624,0.7612007120000001,13.000871096999994,0.019393687,8.160075444,0.0006567389999999999,0.7051260100000001,0.7447035150000001,0.33633390299999993,0.698854523
ItalyPowerDemand,3.032066822052002,0.0908205509185791,0.028677463531494137,0.02721714973449707,0.05024170875549317,0.02699828147888184,0.000207131,0.0019127,0.002962253,0.000232391,0.07811025300000002,0.07863967300000001,0.06917522,0.112590061,0.005524906,0.027948872000000003,0.16865974,0.000969832,0.008780218000000001,0.010897264000000002,0.16331877899999994,0.0006184770000000001,0.07502765600000004,0.00016797199999999998,0.010905954,0.01011339,0.0030798760000000005,0.007412969
Mallat,9.33721399307251,1.5022811889648438,0.5529930591583252,0.5608546733856201,0.5881636142730713,0.5189838409423828,0.001211767,0.154650546,1.156473698,0.009039596,34.877444942000004,23.055047034,22.773530584,39.046902820999996,2.2377302,10.245537922,26.765002088000003,0.003554789,3.832585208,2.679478207,46.864588418000004,0.09857056000000003,29.033602838,0.00128332,2.6290766320000003,2.56433189,1.0504283890000001,2.585380396
MedicalImages,3.02367901802063,0.1431281566619873,0.13448166847229004,0.13431644439697266,0.07387948036193848,0.12395238876342772,0.000163292,0.009478709,0.055420527,0.000532601,0.48903623399999996,0.5589988029999999,0.500799772,0.7195778850000001,0.113440593,0.338590851,0.790982718,0.001071003,0.080769711,0.076425513,1.132280868,0.00368638,0.49045458399999997,0.000224939,0.071736808,0.071204637,0.043055125,0.076914254
MiddlePhalanxOutlineCorrect,2.0251235961914062,0.09509587287902832,0.03042006492614746,0.02912139892578125,0.050512075424194336,0.028983354568481445,0.00015128500000000005,0.0025376950000000004,0.007522303,0.000425529,0.173170125,0.210844817,0.14022759100000004,0.287126887,0.014330854,0.062514011,0.264418823,0.0008317530000000003,0.019408224,0.016530940000000004,0.394544994,0.001117062,0.139665493,0.0006356690000000001,0.016257818000000004,0.01642505,0.0076002410000000015,0.016519755
MoteStrain,2.9051754474639893,0.10006093978881836,0.030555009841918945,0.029949426651000977,0.05272006988525391,0.028456449508666992,0.000229164,0.00466041,0.011842651000000001,0.000674274,0.36386259,0.226804952,0.25610001600000004,0.34823750200000003,0.021735442,0.102849536,0.509133615,0.001197897,0.044337885,0.032549677,0.563007147,0.002109628,0.312335949,0.00025026599999999997,0.031261127,0.032048653,0.01078512,0.031665146
NonInvasiveFetalECGThorax1,14.133259057998655,2.2377099990844727,3.1027317047119136,3.0784289836883545,2.672450065612793,2.3887386322021484,0.001951777,0.930981055,9.40283188,0.010716868999999999,255.19028234700002,204.53102852,180.217104143,268.614856466,14.956182856,75.924609264,222.329435444,0.005121844,27.526222001,18.962038797,304.573582235,0.254058402,230.832559094,0.0018518170000000002,18.061402619000003,18.26744556,7.176212518,18.067000674000003
NonInvasiveFetalECGThorax2,15.558415412902832,2.0674052238464355,2.844883441925049,2.779585599899292,2.4403626918792725,2.2105066776275635,0.001828482,0.925394488,9.103717565,0.010914163,266.167016412,187.20918854099997,179.07119279900002,257.848484873,17.210843226999998,76.02951238600001,222.42385875500003,0.00496919,26.846963387,18.542369739,321.425213282,0.25393991,224.50316715500003,0.0017481059999999995,18.231629924000003,17.920945964,7.641823276,17.987565715
PhalangesOutlinesCorrect,6.838205575942992,0.20801591873168945,0.0635519027709961,0.060805082321166985,0.10903644561767578,0.05954766273498535,0.000381239,0.008239173,0.023890311000000004,0.001267443,0.628111298,0.587344623,0.5395799320000001,0.5771808890000001,0.050215477,0.231261643,1.4389486889999998,0.0024365229999999995,0.089524399,0.063745521,1.310807806,0.00423783,0.5662910940000001,0.0018988579999999998,0.057905852,0.05912771400000001,0.023878066000000003,0.055843421
Phoneme,8.448224782943727,1.22070574760437,1.524078607559204,1.5811638832092283,1.5434691905975342,1.5148799419403076,0.001198817,0.5089259150000001,6.130006972,0.007991228999999999,47.104862711,36.773633562,50.346494691000004,74.41524599499998,12.526797573,37.930595459,43.780466112,0.003014121000000001,6.866117171,6.609570300999999,109.948992871,0.23314009300000002,47.114564099,0.001143613,6.658688132000001,6.53599058,3.127115144,6.616798973
ProximalPhalanxOutlineCorrect,2.456477642059326,0.06867170333862305,0.021347999572753903,0.02028894424438477,0.03606986999511719,0.0198209285736084,0.000129015,0.0029156290000000003,0.008141845,0.00042054,0.18488578600000002,0.240466281,0.18318033800000005,0.30396174200000003,0.015543670999999997,0.08693964500000001,0.392309555,0.000840703,0.017377058,0.014520417000000002,0.527643967,0.0011659030000000007,0.192857786,0.000655781,0.015322755,0.015614250999999997,0.00693348,0.014669173999999998
ShapesAll,3.4169931411743164,0.4558758735656738,0.930332899093628,0.8818092346191406,0.5697808265686035,0.7966074943542479,0.00054127,0.302275373,2.9327009310000003,0.002415195,75.68715689999998,65.07501616399999,51.42547819399999,39.165793162,5.0672318469999995,19.967060175,70.20577926899999,0.001459975,7.947200162000001,5.359038942,104.054195351,0.07505188299999999,65.374410008,0.00048759199999999996,5.4143487320000006,5.7908543350000015,1.095796172,5.229255625
SonyAIBORobotSurface2,2.6355254650115967,0.07213783264160156,0.02186870574951172,0.021493911743164062,0.03898096084594727,0.02084231376647949,0.000143012,0.003194479,0.006955309999999999,0.00033506300000000003,0.267174028,0.193262183,0.216805976,0.290913482,0.013028755,0.066083081,0.30849602499999995,0.0009039889999999999,0.032203159,0.019543934,0.429332473,0.0010373600000000002,0.259575732,0.000176052,0.019697588999999998,0.019248576,0.006611572,0.018943488999999997
Strawberry,2.626966953277588,0.10110759735107422,0.028490304946899414,0.02707958221435547,0.04772400856018066,0.026683807373046875,0.000216383,0.007519174,0.026630507,0.0009909180000000001,0.974952385,0.692436665,0.6865618979999999,0.8785937830000001,0.048403691,0.27291011,0.974671024,0.001169308,0.105449918,0.067440175,1.3594743540000005,0.003935394,0.8602906309999999,0.000299619,0.064354689,0.06854092,0.026870539,0.076659848
SwedishLeaf,2.919058084487915,0.10512709617614746,0.13721299171447754,0.13730096817016602,0.06292462348937987,0.12604260444641113,0.00019146299999999998,0.029785805,0.106578511,0.0006774639999999999,3.746628744000001,3.5679090380000003,2.7090917679999995,3.977220981,0.20956905,0.8768941630000001,2.8642793560000004,0.001088217,0.38116318200000004,0.250643428,5.021460842,0.00580992,3.3325158310000003,0.000258407,0.239427387,0.258981075,0.08894656599999999,0.256342647
Symbols,2.939048767089844,0.41010522842407227,0.18381977081298828,0.1738266944885254,0.1393885612487793,0.15298223495483398,0.000306164,0.026205272,0.131446436,0.001706906,4.8143501440000005,3.793040888,3.311272507,5.0069419470000005,0.25082864899999996,1.1542360239999998,3.343132772,0.001342655,0.463142086,0.3181271889999999,6.755026898,0.011054291,4.29743218,0.000392726,0.305540995,0.321667599,0.135255065,0.29973055000000004
TwoLeadECG,3.2238729000091557,0.09105968475341797,0.02765941619873047,0.027230501174926758,0.04869556427001953,0.02642989158630371,0.000155613,0.004147873,0.01179308,0.000483937,0.40702241200000006,0.29217945100000003,0.221151945,0.3712728790000001,0.019434294,0.097931247,0.4209401409999999,0.0016309870000000006,0.036941853999999996,0.026270464,0.5440525820000001,0.001852783,0.305849848,0.000200487,0.028141041000000002,0.027180922000000003,0.010418729,0.030148765
TwoPatterns,13.101813554763794,0.4696261882781982,0.2859036922454834,0.28169775009155273,0.2422804832458496,0.26632022857666016,0.000796815,0.038879375,0.143601598,0.002974495,4.31941021,2.619881324,2.5698110819999997,2.879700031,0.245352204,1.040268768,2.601822738,0.004957174999999999,0.44177960200000005,0.301593447,6.544950818999999,0.016936683999999997,3.8767089510000003,0.001091262,0.298556763,0.32317894700000005,0.135150986,0.299086089
UWaveGestureLibraryX,14.14766263961792,1.9668066501617432,0.8291852474212646,0.8178861141204834,0.5926649570465088,0.7443070411682129,0.0059903230000000005,0.118521561,0.65895731,0.005910266,19.769518175,13.467512194000001,11.179325132,21.339813979000002,1.1763211889999998,4.662472379,13.452627168,0.005398441999999999,2.02397513,1.3654940080000002,31.026386881999997,0.046590544000000005,14.997469048,0.0015454260000000001,1.358289855,1.3645763750000002,0.6258559969999999,1.323104707
