[2018-12-12 09:07:31,708] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-37 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_MiddlePhalanxOutlineCorrect-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_OliveOil-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Plane-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-48 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_SonyAIBORobotSurface1-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_DistalPhalanxOutlineAgeGroup-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_electricity-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Herring-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Wine-0 (state.change.logger)
