dataset,keras_parallel_3_Dilated_Conv_pooling,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
FiftyWords,0.6538550836183669,0.4320492432575769,0.28412731579405875,0.266134270920506,0.5346131614545621,0.3135519375375269,0.12027086481964122,0.473207332459326,0.5717292811234511,0.1236455881281043,0.5371065729903983,0.5010736134809394,0.5371065729903983,0.05492480373943875,0.5717292811234511,0.5720387189076903,0.4952315981611839,0.0,0.561324786984413,0.5708543631954235,0.5660204074107495,0.12027086481964122,0.5371065729903983,0.0,0.5708543631954235,0.5708543631954235,0.2706500732776936,0.5708543631954235
FordA,0.9153803285235952,0.7306688571686941,0.4915393772535641,0.5312981333485104,0.5124242148976523,0.4865097713311209,0.5187538463547304,0.5022695157428427,0.5015756496061621,0.494531827807628,0.5415355812228654,0.5166868854617171,0.521048986485144,0.5623413248215579,0.5015756496061621,0.5571630760107089,0.5368428600893815,0.5187553594957498,0.5889183453642929,0.5540251082989242,0.5502736624450983,0.5128632965675403,0.5184131380718023,0.5187553594957498,0.5540251082989242,0.5540251082989242,0.5024214371494101,0.5540251082989242
FordB,0.8956868436633203,0.6822930261027331,0.4694207959968154,0.5021169452013172,0.5075933923152631,0.4709348020527621,0.516810671236738,0.4931118483321456,0.5129285849423485,0.4993087560593621,0.5256864750009089,0.5241942301036501,0.5262747246294274,0.5274510319564244,0.5129285849423485,0.5350747839208183,0.5244632150405075,0.5172717896232187,0.5340002689995532,0.5210950795252353,0.5338247808608991,0.5086056849178742,0.5283392644338756,0.5172717896232187,0.5210950795252353,0.5210950795252353,0.5001196700394699,0.5210950795252353
HandOutlines,0.8601826909590371,0.8429856461190665,0.7640250961087424,0.7642442307020919,0.8449203224853691,0.7653320176778208,0.6302934364262431,0.795885825156062,0.8110707078307907,0.4951916514716568,0.3700418280787321,0.3596321264133071,0.3700418280787321,0.8090025433246438,0.8110707078307907,0.2925230107768124,0.3348018472882202,0.36888603045854906,0.3660911307259232,0.8110707078307907,0.7629891737546024,0.74434230854858,0.3700418280787321,0.36888603045854906,0.3668500854335401,0.8110707078307907,0.8064020930245758,0.8110707078307907
InsectWingbeatSound,0.6763186551390873,0.6332039495379073,0.523717971824298,0.5310052056974938,0.6114565442247367,0.5074611268676261,0.056880887710263076,0.572796318183912,0.6430830401530304,0.10102888739724712,0.6443348460230739,0.6430315245627317,0.6443348460230739,0.10068818257890344,0.6430830401530304,0.6428500434950791,0.6430315245627317,0.0,0.6435947655024552,0.6429794529332924,0.6447229458689725,0.1539978241162743,0.6443348460230739,0.0,0.6429794529332924,0.6429794529332924,0.5848518061790464,0.6429794529332924
ItalyPowerDemand,0.9639518666474832,0.9527537465741948,0.9228979737197792,0.9237750721297824,0.7770896035171994,0.9435478877431712,0.48068830765981,0.7574148570852266,0.8956255942619038,0.50749132235958,0.9623563481677124,0.9586534150619266,0.9623563481677124,0.5059380050370882,0.8956255942619038,0.9604906706972224,0.9591093517266576,0.0,0.9651920961619118,0.9599453853777249,0.9672073835686676,0.5763941999647201,0.9627853479213686,0.0,0.9599453853777249,0.9599453853777249,0.8997264299573375,0.9599453853777249
Mallat,0.9717203683435698,0.928499050352266,0.8428679932575491,0.8255372775269538,0.8982270408612423,0.8773615041154523,0.09182919045783797,0.9672123723895196,0.9447073039079704,0.13757220445296536,0.23325840014014296,0.24548875712072635,0.23325840014014296,0.13746797278075598,0.9447073039079704,0.2562862729155509,0.25731623769262696,0.0,0.2608267949466277,0.9447073039079704,0.24292636528480605,0.2062372001884936,0.23325840014014296,0.0,0.2575196540403052,0.9447073039079704,0.9192925858358588,0.9447073039079704
MedicalImages,0.7293432549330094,0.5440126359063844,0.4805931998590367,0.4656455628237404,0.3463589636621839,0.4867066801973085,0.5166696820303105,0.5166696820303105,0.4427343297369974,0.10545385351825434,0.5166696820303105,0.4944200820490334,0.5166696820303105,0.06826323848318644,0.4427343297369974,0.5137971288804069,0.4944200820490334,0.0,0.5152190733732164,0.5166696820303105,0.5166696820303105,0.5166696820303105,0.5166696820303105,0.0,0.5166696820303105,0.5166696820303105,0.44359449669966255,0.5166696820303105
MiddlePhalanxOutlineCorrect,0.7483819833994032,0.6155729950582391,0.5526577663675224,0.5510481011814128,0.6433711000489578,0.5189781332206597,0.6162056595699541,0.6114574082865882,0.6610404552650163,0.542385637290557,0.6424922705251263,0.6964299043319262,0.6424922705251263,0.7146125888740372,0.6610404552650163,0.6556583359217253,0.6964299043319262,0.3813141357363489,0.6429494844023615,0.6383339497215511,0.6532565976603478,0.6162056595699541,0.6424922705251263,0.3813141357363489,0.6383339497215511,0.6383339497215511,0.5460808114846925,0.6383339497215511
MoteStrain,0.938705112044486,0.8971634147645678,0.8702374646197544,0.8626083636792984,0.8307415809153491,0.8759941281305142,0.5496715984610008,0.8873775833468065,0.8811148817854985,0.5549371126704273,0.8751424831408837,0.8661471732847347,0.8751424831408837,0.5542435546245558,0.8811148817854985,0.8811148817854985,0.8675505275641379,0.0,0.8826686160852378,0.8802479342281591,0.8820760699766558,0.6410366240855986,0.8751424831408837,0.0,0.8802479342281591,0.8802479342281591,0.8515005955950008,0.8802479342281591
NonInvasiveFetalECGThorax1,0.8771477914452595,0.4341301367065837,0.2236374872043501,0.2517950177572068,0.5987107521299183,0.304791224021757,0.013686576877726259,0.7142669266692365,0.6770259714181668,0.01828781027862336,0.2202652290635392,0.2558378094077827,0.2202652290635392,0.018205304324321263,0.6770259714181668,0.26269129966142835,0.2371901245324129,0.0,0.2510841813196932,0.6770259714181668,0.2199302841387924,0.028449930840570518,0.2202652290635392,0.0,0.2624659099227777,0.6770259714181668,0.6417253673766045,0.6770259714181668
NonInvasiveFetalECGThorax2,0.8730725777480841,0.4971088312015443,0.281642658926443,0.32578642998771595,0.6777685299467672,0.3666749679322474,0.00994137236831187,0.7873543894132798,0.7078500315836646,0.02470669583884989,0.15190239015230686,0.18075183019808894,0.15190239015230686,0.02465048824530729,0.7078500315836646,0.20320752446957185,0.18084551706593185,0.0,0.1987144480776376,0.7078498693456445,0.15509095268082565,0.03656277820931682,0.15190239015230686,0.0,0.2030795893783833,0.7078498693456445,0.6277875481608586,0.7078498693456445
PhalangesOutlinesCorrect,0.7662205909697256,0.6434464914790797,0.6022350209787901,0.5835260969487198,0.6424222094997009,0.5853551646926894,0.6543587571569687,0.6547657022627629,0.6511082645824966,0.5521220587680907,0.654191927905614,0.6873063512872231,0.654191927905614,0.6610600173257494,0.6511082645824966,0.6502359956602571,0.692392381094936,0.345621842773203,0.6503188972531952,0.6510729692752568,0.7111067032785859,0.6755151917637515,0.654191927905614,0.345621842773203,0.6510729692752568,0.6510729692752568,0.658363837777623,0.6510729692752568
Phoneme,0.2688814143953577,0.10453686603592334,0.05427907048157682,0.06277137415486933,0.08297364684098557,0.08240962096609236,0.11919798098208476,0.1104913093955488,0.0031326851188952713,0.01647686580357675,0.11924833941095266,0.0,0.11924833941095266,0.0,0.0031326851188952713,0.11919798098208476,0.0,0.0,0.11954576624394055,0.11919798098208476,0.11928872515132068,0.12002758991230787,0.11924833941095266,0.0,0.11919798098208476,0.11919798098208476,0.0013272029156069867,0.11919798098208476
